Nome da Startup,País Sede,Site,Setor,Ano de Fundação,Valor do Investimento,Rodada,Data do Investimento,Venture Capital Investidor,LinkedIn do Fundador
Kavak,México,https://www.kavak.com,Marketplace/Used Cars,2016,US$ 300M,Series D,2023-05-10,Kaszek Ventures,N/A
Credifiel,México,https://credifiel.mx,Fintech,2014,US$ 50M,Series B,2023-08-15,Kaszek Ventures,N/A
Mercado Libre,Argentina,https://www.mercadolibre.com,Marketplace/E-commerce,N/A,N/A,N/A,N/A,Kaszek Ventures,N/A
Gympass,Brasil,https://www.gympass.com,Health & Fitness/Nwellness,N/A,N/A,N/A,N/A,Kaszek Ventures,N/A
QuintoAndar,Brasil,https://www.quintoandar.com.br,Proptech,N/A,N/A,N/A,N/A,Kaszek Ventures,N/A
Ualet,México,https://www.ualet.mx,Fintech/Wealth Management,2018,US$ 15M,Series A,2024-03-20,Monashees,N/A
Moons,México,https://www.moons.money,Fintech/Neobank,2018,US$ 7M,Seed,2023-11-30,Monashees,N/A
Wildlife Studios,Brasil,https://www.wildlifestudios.com,Entertainment/Gaming,N/A,N/A,N/A,N/A,Monashees,N/A
Frubana,Colômbia,https://www.frubana.com,E-commerce/B2B,2018,US$ 65M,Series B,2024-06-10,Valor Capital Group,N/A
Ualet,Chile,https://ualet.cl,Fintech/Wealth Management,2018,US$ 18M,Series A,2024-04-18,Valor Capital Group,N/A
Kavak Educação,Brasil,https://kavakeducation.com,Education Technology,N/A,N/A,N/A,N/A,Valor Capital Group,N/A
Restorando,Argentina,https://restorando.com.ar,Proptech/Bookings,2014,N/A,N/A,2023-07-05,NXTP Ventures,N/A
Alquilando,Argentina,https://alquilando.com,Proptech/Rental Marketplace,2017,US$ 2.5M,Seed,2023-09-12,NXTP Ventures,N/A
Laika,Colômbia,https://laika.com.co,Healthtech,2017,US$ 25M,Series A,2024-02-20,Canary,N/A
Clickseguros,Chile,https://clickseguros.cl,Insurtech,2018,N/A,Seed,2023-11-05,Canary,N/A
Conekta (México),México,https://conekta.com,Fintech/Payments,2014,US$ 16M,Series B,2023-06-30,Astella Investimentos,N/A
Yaigo (México),México,https://yaigo.com,Logistics,2019,US$ 5M,Seed,2024-01-15,Ignia Partners,N/A
Nuvocargo,México,https://nuvocargo.com,Logistics,2019,US$ 40M,Series B,2024-07-22,Dalus Capital,N/A
Celo,México,https://celo.org,Fintech/Blockchain,2017,US$ 10M,Series A,2024-03-05,Maya Capital,N/A
Liftit,Colômbia,https://liftit.com,Logistics,2018,US$ 15M,Series A,2023-08-18,Mouro Capital,N/A
Frubana,Argentina,https://frubana.com,E-commerce/B2B,2018,N/A,N/A,2023-12-28,Redwood Ventures,N/A
Torre,Argentina,https://torre.co,Edtech/HR Tech,2018,US$ 22M,Series A,2024-05-10,Endeavor Catalyst,N/A
